Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,Zone Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Cooling Coil Valve Control Signal,Occupancy Mode Indicator
8/28/2007 6:00,74.31,55,73.64,73.65,72.91,73.65,0,1
8/28/2007 6:01,74.09,55,73.65,74.28,73.01,74.28,0,1
8/28/2007 6:02,74.09,55,73.61,75.34,73.33,75.34,0,1
8/28/2007 6:03,73.98,55,73.82,75.86,73.65,75.86,0,1
8/28/2007 6:04,74.09,55,73.91,76.18,74.07,76.18,0,1
8/28/2007 6:05,74.41,55,73.86,76.49,74.82,76.49,0,1
8/28/2007 6:06,74.84,55,73.84,76.28,75.03,76.28,0,1
8/28/2007 6:07,75.17,55,73.72,76.28,75.14,76.28,0,1
8/28/2007 6:08,75.71,55,73.62,76.18,75.24,76.18,0,1
8/28/2007 6:09,76.03,55,73.59,76.28,75.45,76.28,0,1
8/28/2007 6:10,76.35,55,73.69,76.28,75.56,76.28,0,1
8/28/2007 6:11,76.67,55,73.74,76.28,75.56,76.28,0,1
8/28/2007 6:12,76.89,55,73.84,76.28,75.77,76.28,0,1
8/28/2007 6:13,77.43,55,73.74,76.39,75.77,76.39,0,1
8/28/2007 6:14,77.43,55,73.67,76.49,75.88,76.49,0,1
8/28/2007 6:15,77.86,55,73.65,76.6,75.98,76.6,0,1
8/28/2007 6:16,77.97,55,73.65,76.7,76.09,76.7,0,1
8/28/2007 6:17,78.18,55,73.67,76.81,76.2,76.81,0,1
8/28/2007 6:18,78.4,55,73.66,76.91,76.3,76.91,0,1
8/28/2007 6:19,78.5,55,73.64,76.91,76.3,76.91,0,1
8/28/2007 6:20,78.72,55,73.61,77.12,76.41,77.12,0,1
8/28/2007 6:21,78.83,55,73.71,77.12,76.51,77.12,0,1
8/28/2007 6:22,79.04,55,73.86,77.23,76.62,77.23,0,1
8/28/2007 6:23,79.26,55,73.86,77.23,76.62,77.23,0,1
8/28/2007 6:24,79.37,55,73.77,77.33,76.73,77.33,0,1
