Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,Zone Air Temperature,AHU: Outdoor Air Temperature,Zone Air Temperature.1,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Cooling Coil Valve Control Signal,Occupancy Mode Indicator,Supply Air Volume,Q_fan,Q_chill,Q_total,Q_vav,Total
8/28/2007 7:00,49.12,55,71.45,73.91,71.45,72.16,71.45,0.2,1,29.11,36.3875,197.55,0.234,0.01243,0.24643
8/28/2007 7:01,50.41,55,71.55,73.92,71.55,72.27,71.55,0.17,1,30.75,38.4375,197.99,0.236,0.01404,0.25004
8/28/2007 7:02,51.7,55,71.66,74,71.66,72.27,71.66,0.16,1,32.57,40.7125,197.34,0.238,0.01593,0.25393
8/28/2007 7:03,52.78,55,71.55,74.09,71.55,72.27,71.55,0.15,1,34.64,43.3,198.86,0.242,0.01581,0.25781
8/28/2007 7:04,53.75,55,71.66,74.15,71.66,72.48,71.66,0.15,1,36.3,45.375,200.26,0.246,0.01775,0.26375
8/28/2007 7:05,54.39,55,71.55,74.22,71.55,72.27,71.55,0.16,1,37.88,47.35,199.5,0.247,0.01729,0.26429
8/28/2007 7:06,54.93,55,71.55,74.31,71.55,72.27,71.55,0.16,1,39.12,48.9,199.8,0.249,0.01786,0.26686
8/28/2007 7:07,55.36,55,71.76,74.35,71.76,72.59,71.76,0.18,1,39.64,49.55,201.18,0.251,0.02055,0.27155
8/28/2007 7:08,55.58,55,71.66,74.32,71.66,72.38,71.66,0.19,1,40.43,50.5375,200.06,0.251,0.01977,0.27077
8/28/2007 7:09,55.9,55,71.76,74.31,71.76,72.38,71.76,0.2,1,40.99,51.2375,198.97,0.25,0.02125,0.27125
8/28/2007 7:10,56.12,55,71.66,74.49,71.66,72.48,71.66,0.22,1,41.83,52.2875,201.57,0.254,0.02045,0.27445
8/28/2007 7:11,56.55,55,71.97,74.63,71.97,72.7,71.97,0.24,1,42.16,52.7,200.55,0.253,0.02446,0.27746
8/28/2007 7:12,56.76,55,71.97,74.63,71.97,72.7,71.97,0.27,1,42.74,53.425,200.67,0.254,0.0248,0.2788
8/28/2007 7:13,56.87,55,71.87,74.66,71.87,72.59,71.87,0.29,1,43.34,54.175,200.68,0.255,0.02387,0.27887
8/28/2007 7:14,56.66,55,71.87,74.64,71.87,72.59,71.87,0.3,1,42.74,53.425,200.54,0.254,0.02354,0.27754
8/28/2007 7:15,56.44,55,71.97,74.72,71.97,72.7,71.97,0.32,1,41.86,52.325,200.48,0.253,0.02429,0.27729
8/28/2007 7:16,56.12,55,72.18,74.83,72.18,72.91,72.18,0.33,1,40.48,50.6,200.19,0.251,0.02599,0.27699
8/28/2007 7:17,56.12,55,71.97,74.91,71.97,72.7,71.97,0.34,1,41.02,51.275,200.33,0.252,0.0238,0.2758
8/28/2007 7:18,56.12,55,71.97,74.91,71.97,72.8,71.97,0.35,1,41.02,51.275,201.53,0.253,0.0238,0.2768
8/28/2007 7:19,56.22,55,71.87,74.96,71.87,72.7,71.87,0.37,1,41.54,51.925,201.64,0.254,0.02288,0.27688
8/28/2007 7:20,56.12,55,71.87,75.08,71.87,72.8,71.87,0.38,1,41.28,51.6,202.81,0.254,0.02274,0.27674
8/28/2007 7:21,56.12,55,71.97,75.14,71.97,72.8,71.97,0.4,1,41.02,51.275,201.53,0.253,0.0238,0.2768
8/28/2007 7:22,56.01,55,71.97,75.14,71.97,72.8,71.97,0.41,1,40.73,50.9125,201.43,0.252,0.02363,0.27563
8/28/2007 7:23,55.36,55,71.87,75.22,71.87,72.8,71.87,0.4,1,39.38,49.225,202.29,0.252,0.02169,0.27369
8/28/2007 7:24,55.04,55,71.97,75.32,71.97,72.8,71.97,0.39,1,38.4,48,200.88,0.249,0.02228,0.27128
8/28/2007 7:25,54.93,55,71.87,75.33,71.87,72.8,71.87,0.39,1,38.38,47.975,202.02,0.25,0.02114,0.27114
8/28/2007 7:26,54.93,55,71.97,75.39,71.97,72.8,71.97,0.39,1,38.15,47.6875,200.81,0.248,0.02214,0.27014
8/28/2007 7:27,54.93,55,71.87,75.4,71.87,72.8,71.87,0.39,1,38.38,47.975,202.02,0.25,0.02114,0.27114
8/28/2007 7:28,54.93,55,71.87,75.42,71.87,72.8,71.87,0.38,1,38.38,47.975,202.02,0.25,0.02114,0.27114
8/28/2007 7:29,54.61,55,71.87,75.37,71.87,72.8,71.87,0.38,1,37.67,47.0875,201.83,0.249,0.02075,0.26975
8/28/2007 7:30,54.72,55,72.08,75.41,72.08,73.01,72.08,0.37,1,37.45,46.8125,201.75,0.249,0.02294,0.27194
8/28/2007 7:31,54.61,55,71.87,75.51,71.87,72.8,71.87,0.37,1,37.67,47.0875,201.83,0.249,0.02075,0.26975
8/28/2007 7:32,54.61,55,71.76,75.57,71.76,72.8,71.76,0.37,1,37.91,47.3875,203.12,0.251,0.01965,0.27065
8/28/2007 7:33,54.5,55,71.76,75.68,71.76,72.7,71.76,0.36,1,37.67,47.0875,201.94,0.249,0.01953,0.26853
8/28/2007 7:34,54.61,55,71.76,75.66,71.76,72.91,71.76,0.36,1,37.91,47.3875,204.34,0.252,0.01965,0.27165
8/28/2007 7:35,54.5,55,71.87,75.66,71.87,72.91,71.87,0.35,1,37.43,46.7875,202.97,0.25,0.02062,0.27062
8/28/2007 7:36,54.5,55,71.97,75.72,71.97,73.12,71.97,0.34,1,37.21,46.5125,204.08,0.251,0.02159,0.27259
8/28/2007 7:37,54.39,55,71.87,75.75,71.87,72.8,71.87,0.34,1,37.19,46.4875,201.67,0.248,0.02048,0.26848
